bvd_id,guo
NL01100475,NL39085314
NL01100520,NL01101064
NL01100577,NL57750378
NL01100780,NL01074106
NL01100902,NL01100901
NL01100930,NL61256463
NL01101261,NL41005105
NL01101353,NL01120411
NL01101356,NL76757692
NL01101491,NL01112256
NL01101864,NL01066215
NL01101917,FRP000380095
NL01101979,NL64144933
NL01101982,NL01119138
NL01102195,NL67669786
NL01102196,NL64925153
NL01102199,NL01045539
NL01102567,NL01067598
NL01102911,NL70504997
NL01103075,JP5010001008771
NL01103077,NL01066485
NL01103402,NL01073665
NL01103465,NL02041945
NL01103815,NL66348412
NL01103843,NL01103842
NL01103972,NL01120054
NL01104017,NL18052434
NL01104019,NL01118915
NL01104128,NL32129469
NL01104131,WW*110298658118
NL01104150,NL01104149
NL01104152,NL01104151
NL01104186,WW*110298658119
NL01104191,NL01104148
NL01104320,NL05078403
NL01104435,NL02056011
NL01104645,WW*905741178
NL01104839,NL58384189
NL01105438,NL31046636
NL01105589,NL71898433
NL01105805,NL37087909
NL01105962,NL73379956
NL01106610,NL01096034
NL01106616,NL01066485
NL01106662,NL37157753
NL01106896,NL05063345
NL01107125,NL57750378
NL01107503,NL01090394
NL01107907,NL01102265
NL01107918,WW*110298658050
NL01107924,NL54050278
NL01108006,NL*905642689
NL01108074,NL50088831
NL01108565,NL55053289
NL01108566,NL55053289
NL01108584,NL73379956
NL01108750,NL71857699
NL01108923,NL01108921
NL01108955,NL41005105
NL01109063,WW*110298658130
NL01109400,NL24275203
NL01109401,NL24275203
NL01109630,NL34058584
NL01109687,NL01110649
NL01109717,NL01070263
NL01110183,NL71909494
NL01110255,NL04077254
NL01110549,WW*110298658143
NL01110550,WW*110298658144
NL01110838,NL01109104
NL01110898,NL01074177
NL01111087,NL01102349
NL01111099,NL01066485
NL01111294,NL01090410
NL01111308,NL01080655
NL01111860,NL64642895
NL01111893,NL01031116
NL01112261,NL01112256
NL01112468,NL30099780
NL01112528,DE8170772594
NL01112808,JP5010001008771
NL01112882,NL56802323
NL01112965,NL69108382
NL01113581,NL59700645
NL01113593,NL76922170
NL01113636,NL01088183
NL01113703,NL01109011
NL01113704,NL01109011
NL01113899,NL71260609
NL01113927,NL71898433
NL01114007,NL67547753
NL01114077,NL01114067
NL01114083,NL01080655
NL01114238,NL01106683
NL01114258,NL01114257
NL01114259,NL01114257
NL01114263,NL01115502
NL01114281,NL01119418
NL01114503,NL66348412
NL01114800,NL01150773
NL01114932,FR709802094
NL01115027,WW*110298658063
NL01115034,NL66033462
NL01115054,NL01115051
NL01115109,NL68216513
NL01115225,BE0861290318
NL01115268,WW*110298658171
NL01115370,NL76086976
NL01115564,NL01115563
NL01115893,SC0000071856
NL01116188,WW*110298658108
NL01116563,NL01164464
NL01116806,NL30099780
NL01116808,NL30099780
NL01116912,NL01106090
NL01116914,NL01106090
NL01116916,NL01106090
NL01117171,NL01096363
NL01117319,NL01080655
NL01117398,NL01080655
NL01117653,NL01117708
NL01117815,WW*110298658182
NL01118131,NL62984950
NL01118327,NL01065855
NL01118364,NL62986201
NL01118736,NL01031116
NL01119113,NL01074177
NL01119392,WW*110298658184
NL01119501,WW*110298658186
NL01119626,WW*110298658188
NL01119630,NL61643386
NL01119678,US*D00415035
NL01119868,NL01101995
NL01119890,NL01119887
NL01120009,NL24123686
NL01120141,NL31036569
NL01120163,NL01115563
NL01120682,WW*110298658195
NL01120929,NL*905642689
NL01121812,NL01136012
NL01121998,NL50088831
NL01122542,NL41005202
NL01122915,NL01124289
NL01122984,NL60980583
NL01123228,NL02066578
NL01123268,NL02081017
NL01123274,NL02081017
NL01123326,NL37040435
NL01123390,WW*110298671945
NL01123391,WW*110298671946
NL01123414,NL73379956
NL01123439,NL02090319
NL01123444,NL54315662
NL01123588,WW*110298658210
NL01124293,NL01124289
NL01124396,NL77801806
NL01124863,NL01124870
NL01125732,NL02075334
NL01126075,NL01136012
NL01126145,NL01126044
NL01126396,NL41010743
NL01126400,NL70361878
NL01127394,NL01181053
NL01127437,NL27296765
NL01127451,NL02081017
NL01128176,NL08150661
NL01128611,NL01128608
NL01128728,NL66261287
NL01128905,NL01128904
NL01128918,NL67471919
NL01129381,NL57393206
NL01129716,NL01129712
NL01129722,NL*905642689
NL01129856,NL01129852
NL01129869,NL04001294
NL01130325,NL58357610
NL01130426,NL01066215
NL01130434,NL01076155
NL01130535,NL02031969
NL01130804,NL01106683
NL01131418,NL30134568
NL01131476,NL04078099
NL01131635,NL51453762
NL01131981,NL02081017
NL01132008,NL04033093
NL01132030,WW*110298658241
NL01132126,NL01083633
NL01132159,NL01074106
NL01132301,NL71656820
NL01132397,NL01132393
NL01132532,WW*110298658251
NL01132664,NL01132658
NL01132780,NL01132779
NL01132959,NL01143761
NL01133009,NL02081679
NL01133154,NL02077415
NL01133280,NL62166026
NL01133382,NL64781275
NL01134314,WW*110298658269
NL01134398,NL76854523
NL01134840,NL01128608
NL01135027,NL01123393
NL01135029,NL01123393
NL01135253,WW*110298658273
NL01135658,NL02073321
NL01136168,NL04066172
NL01136210,NL01169570
NL01136211,NL04015151
NL01136465,NL24123686
NL01136472,NL01136473
NL01136691,WW*110298658281
NL01136901,NL58357610
NL01136962,NL01136961
NL01136982,NL58553932
NL01137013,NL02082437
NL01137015,NL02082437
NL01137074,NL01128608
NL01137120,NL02069342
NL01137881,NL01101064
NL01137890,NL01079054
NL01137892,NL01079054
NL01137967,NL54287200
NL01138425,DE8170772594
NL01139052,NL62802712
NL01139271,NL01166305
NL01139491,NL51624931
NL01139500,NL01139497
NL01139544,NL50551930
NL01139577,WW*110298658289
NL01139757,NL01110074
NL01139876,NL02094005
NL01140083,DE2151672078
NL01140290,NL51245353
NL01140343,NL54289645
NL01140376,NL58871772
NL01140389,NL01106090
NL01140427,NL01118182
NL01140793,NL30070695
NL01140899,GBGG32712
NL01141051,NL55478719
NL01141191,WW*110298658300
NL01141220,WW*110298658851
NL01141221,WW*110298658851
NL01141329,NL02090812
NL01141336,NL02093893
NL01141422,NL01141467
NL01141519,NL01141494
NL01141993,NL62555723
NL01142002,NL01127054
NL01142046,NL01142033
NL01142077,NL01142067
NL01142096,NL67471919
NL01142699,NL58393595
NL01144236,WW*110298670660
NL01144334,NL04085924
NL01144392,NL01148754
NL01145881,NL65703960
NL01146123,NL01128608
NL01146417,NL56821166
NL01146433,NL08080307
NL01147893,NL01121744
NL01148021,WW*110298658683
NL01148024,NL01124289
NL01148204,NL71009116
NL01148512,NL66894026
NL01148897,NL51453762
NL01148939,NL01148935
NL01149359,NL37077810
NL01150252,NL04086804
NL01151224,NL73379956
NL01151247,NL73379956
NL01151375,NL01101313
NL01153470,NL70139350
NL01154233,WW*110298658333
NL01154453,WW*110298658336
NL01154698,WW*110298658341
NL01155014,NL41005453
NL01155027,NL02050681
NL01155056,WW*110298658347
NL01155246,NL01043215
NL01155261,NL01043215
NL01155296,NL04073631
NL01156751,NL02094267
NL01157147,NL68529554
NL01157521,NL01064946
NL01157671,NL22044897
NL01158735,WW*110298658357
NL01159255,NL*905642689
NL01159440,NL*J00S1210
NL01161489,NL68709897
NL01161556,NL56796684
NL01161557,NL56796684
NL01161935,NL08176480
NL01162041,NL51185547
NL01162293,NL31033577
NL01162772,NL01162766
NL01163323,NL4-5311183
NL01163671,NL04073631
NL01164181,NLC2-218026
NL01165460,NL67699820
NL01165980,NL02063108
NL01166380,WW*110298658364
NL01166534,NL01166529
NL01166707,NL01083633
NL01167471,NL59489138
NL01167528,NL04044587
NL01167924,NL04077986
NL01167944,NL74610503
NL01168019,NL01120140
NL01168729,NL73379956
NL01169081,WW*110298658376
NL01169298,NL73572888
NL01169300,NL01100099
NL01169310,NL30180070
NL01169396,WW*110298658378
NL01169416,NL64781275
NL01169746,NL73392308
NL01170166,GBJE113126
NL01170426,NL58357610
NL01170946,NL01114363
NL01171330,NL24123686
NL01171806,NL04037907
NL01172708,NL64951200
NL01173273,NL73473286
NL01176309,NL01173190
NL01178474,NL01178096
NL01178690,NL52188221
NL01179200,NL01109399
NL01179559,WW*110298658628
NL01179626,WW*110298658397
NL01180367,NL41011601
NL01180689,WW*110298658399
NL01181528,NL01123393
NL01181695,NL58754644
NL01182493,NL01109011
NL01182616,CA199409307L
NL01183321,NL01133916
NL02005035,NL02054077
NL02009131,NL62555723
NL02013002,NL70650284
NL02013386,NL02100548
NL02013984,NL41010300
NL02014096,NL02072922
NL02016483,NL41014030
NL02018816,NL35024621
NL02020914,NL20028699
NL02021159,WW*110298658409
NL02024613,NL24270678
NL02024998,NL67703801
NL02026314,NL30079765
NL02026559,NL*J00S1210
NL02026643,NL60248653
NL02027410,NL31040227
NL02029700,NL*J00S1210
NL02030050,NL02005220
NL02030179,NL02057088
NL02030258,NL02057088
NL02030553,SE*110241745294
NL02031391,GBJE119909
NL02031832,NL02076922
NL02032414,NL02045481
NL02032828,US221024240
NL02032832,NL02033000
NL02034117,NL02035766
NL02034660,NL56692439
NL02035141,NL68686153
NL02035201,NL08060403
NL02035768,NL02035766
NL02035964,NL02048071
NL02036571,NL75283824
NL02036622,NL*J00S1210
NL02036894,NL41010300
NL02037198,NL30086384
NL02037226,NL30086384
NL02037320,NL02045293
NL02037339,NL02005220
NL02037443,NL05067122
NL02037606,WW*110298658419
NL02037748,US126787445L
NL02037904,DE2011392340
NL02037930,NL02005220
NL02038442,NL68489641
NL02038528,NL*J00S1210
NL02038918,WW*110298658720
NL02038933,NL02085026
NL02039089,NL52394840
NL02039320,NL41011601
NL02040275,NL01155410
NL02040295,NL41013330
NL02040466,NL70491178
NL02040654,NL01129549
NL02040692,NL5-24681867I
NL02041029,NL02101328
NL02041049,NL57611068
NL02041078,SE5560371394
NL02041105,NL68454627
NL02041234,NL02032331
NL02041280,NL35024621
NL02041611,WW*4000000058873
NL02042021,NL02061805
NL02042127,NL65082664
NL02042686,NL02037472
NL02042937,NL24398458
NL02043037,NL02037472
NL02043040,NL62555723
NL02043428,IT01123470013
NL02043473,WW*110298670736
NL02043588,NL27364068
NL02044014,NL56699824
NL02044123,NL02056011
NL02044211,NL59353376
NL02044275,NL01143761
NL02044304,NL56692439
NL02044410,NL02086496
NL02044417,NL02005220
NL02044607,NL02044604
NL02044619,WW*110298658429
NL02044818,NL02099063
NL02044979,NL02040619
NL02045289,NL*J00S1210
NL02045630,NL41012886
NL02045649,NL01124908
NL02045732,NL69737983
NL02045733,NL69737983
NL02045772,NL01123393
NL02045971,NL02060402
NL02046480,NL51624931
NL02047171,NL41011601
NL02047199,NL02048250
NL02047206,NL02090899
NL02047435,NL02092900
NL02047503,NL01079212
NL02047788,NL27244228
NL02047793,NL41010528
NL02047868,NL41013007
NL02048134,NL02078991
NL02048232,NL39037118
NL02048288,NL55944671
NL02048444,NL02328795
NL02048469,NL50251252
NL02048536,NL02047773
NL02048590,NL10035599
NL02048736,US611797411
NL02049614,NL01170714
NL02049778,NL01143761
NL02049872,NL73379956
NL02050411,LU*E00766966
NL02050758,NL41013456
NL02051100,NL64070727
NL02051231,NL02037472
NL02051338,NL41013456
NL02051434,NL41013655
NL02051476,NL02056525
NL02051589,NL02037472
NL02051604,NL02322032
NL02051616,NL02066578
NL02052167,NL72026367
NL02052295,NL72026367
NL02052371,NL02047976
NL02052426,NL02047773
NL02052493,NL02051123
NL02052535,US060548860
NL02052628,NL41010300
NL02052770,NL02047976
NL02053026,WW*110298658446
NL02053380,NL59489138
NL02053537,NL02054894
NL02053579,NL41012886
NL02053652,NL01164282
NL02053901,NL02048250
NL02053978,NL24379832
NL02054138,NL02077514
NL02054498,NL02077204
NL02054501,WW*110298658447
NL02054883,NL01155410
NL02054884,NL02101328
NL02054892,NL01155410
NL02054958,NL06063493
NL02055137,NL02076612
NL02055257,NL22057806
NL02055410,NL01126038
NL02055662,DE*Z00210589
NL02055663,NL69996814
NL02056008,NL72026367
NL02056113,US042209186
NL02056186,NL52843475
NL02056643,NL58366709
NL02056665,NL69996814
NL02056814,NL41013699
NL02057010,NL02040619
NL02057176,IE012244
NL02057242,NL*908405293
NL02057526,NL59297247
NL02057760,WW*110298670803
NL02057817,NL59353376
NL02057929,NL02061910
NL02058154,NL01179037
NL02058206,NL02041945
NL02058321,WW*110298658458
NL02058802,NL72026367
NL02058843,WW*110298658557
NL02059080,NL02056317
NL02059153,NL02040619
NL02059261,WW*110298658462
NL02059278,NL41013699
NL02059343,NL50251252
NL02059460,NL02082597
NL02060066,NL41013658
NL02060067,NL41013658
NL02060175,NL58018174
NL02060186,WW*110298658652
NL02060239,WW*110298658466
NL02060539,NL01155410
NL02060583,NL64510395
NL02060589,NL27228497
NL02061136,NL02093216
NL02061138,LULB88948
NL02061233,NL55412246
NL02061234,NL55412785
NL02061235,NL55412246
NL02061435,NL34250842
NL02061528,NL02043836
NL02061695,NL51624931
NL02061784,NL41013658
NL02061937,NL01153483
NL02062345,TRC23474334730
NL02062465,NL02062464
NL02062570,NL55478719
NL02062725,WW*110298658476
NL02062767,NL52411338
NL02063037,NL41014030
NL02063059,NL64575322
NL02063109,NL02063108
NL02063157,NL01164282
NL02063323,NL01157502
NL02063343,NL55412785
NL02063344,NL70491178
NL02063480,CW*D00416449
NL02063509,NL01143761
NL02063609,NL52916979
NL02063837,NL27076669
NL02063846,NL61975893
NL02064353,WW*110298658481
NL02064382,NL02041945
NL02064422,NL*908405293
NL02064533,NL55412246
NL02064677,NL02093893
NL02064845,NLCP3325218
NL02064992,WW*110298670803
NL02065230,NL02070398
NL02065313,NL05069759
NL02065808,NL02065806
NL02065954,NL02065950
NL02065959,NL02077514
NL02066695,NL68083718
NL02067077,DE7330745091
NL02067087,NL02093893
NL02067284,NL54045126
NL02067305,NL68314426
NL02067394,NL75194384
NL02067705,DE2151672078
NL02067997,NL02066441
NL02068044,NL74183028
NL02068606,NL02069342
NL02068770,WW*110298666091
NL02069256,NL02082984
NL02069515,WW*110298667208
NL02069975,NL02066806
NL02070127,NL02085026
NL02070128,NL02085026
NL02070129,NL02085026
NL02070312,NL01103348
NL02070866,NL58942408
NL02071255,NL01122795
NL02071367,NL*908405293
NL02071432,NL01148863
NL02071473,NL02322491
NL02071536,NL02084151
NL02071791,NL02071789
NL02071927,NL72774703
NL02072020,NL57199086
NL02072239,NL02328794
NL02072322,NL27242341
NL02072640,WW*110298658504
NL02073069,NL73558907
NL02073117,NL74490206
NL02073715,NL70491178
NL02074019,NL41011450
NL02074273,NL58076492
NL02074345,NL67513565
NL02074696,NL53728777
NL02075078,NL55651151
NL02075111,NL02334720
NL02075235,NL02032331
NL02075470,WW*110298658512
NL02075525,NL41014030
NL02075639,NL02036824
NL02075672,NL27230417
NL02075750,NL02069342
NL02076123,WW*110298658519
NL02076532,NL02077514
NL02076559,NL02077514
NL02076939,NL02081017
NL02077328,WW*110298658664
NL02077339,NL*905642689
NL02077391,NL72231874
NL02077480,NL65191277
NL02077504,NL04069154
NL02077577,NL32067248
NL02077660,NL73044857
NL02077984,NL02066441
NL02078157,NL59414863
NL02078662,NL02085814
NL02079525,NL02081017
NL02079579,US222640650
NL02079606,NL67096018
NL02080074,NL55410766
NL02080106,NL51453762
NL02080122,WW*110298658347
NL02080527,NL55410766
NL02080528,NL55410766
NL02080622,NL05072774
NL02080623,NL05072774
NL02080754,NL08158608
NL02080755,NL02329572
NL02080857,NL02080859
NL02081102,NL59489138
NL02081471,NL02049919
NL02081616,WW*110298658565
NL02081627,NL41212326
NL02081822,NL02320448
NL02081824,NL02320448
NL02081839,NL02066018
NL02081857,NL02329572
NL02081858,NL72774703
NL02081949,NL02098441
NL02082056,NL02334720
NL02082075,NL67389929
NL02082206,NL01123393
NL02082238,NL01123393
NL02082284,NL02332396
NL02082515,NL67324924
NL02082560,NL02076921
NL02082598,NL02082597
NL02082766,NL02082764
NL02083147,US224245952L
NL02083351,NL01088591
NL02083609,NL76530973
NL02083851,NL02095723
NL02083863,NL02324185
NL02084184,NL41212326
NL02084201,NL02081017
NL02084207,NL02078873
NL02084234,GB08943488
NL02084613,NL02084607
NL02084616,NL02084601
NL02084708,NL08080307
NL02084889,NL*J00S1210
NL02084894,NL*J00S1210
NL02084899,NL02093893
NL02084908,NL63838885
NL02084911,NL41013456
NL02085153,WW*110298658558
NL02085704,NL59489138
NL02085788,US811224539
NL02085815,NL02085814
NL02085850,WW*110298670053
NL02086018,NL30194051
NL02086150,CW30390NU
NL02086191,NL55410766
NL02086292,NL01179037
NL02086296,NL37119314
NL02086358,WW*110298658565
