bvd_id,company_adddress
NL01036591,8911AW | 1
NL01036759,8531AA | 28
NL01037218,9728JT | 300
NL01037273,9251MP | 5
NL01037665,8861XA | 2
NL01037697,3991AT | 23
NL01037814,9291MC | 6
NL01037819,8501ZJ | 13
NL01038306,9206AJ | 10
NL01038332,2134AB | 800
NL01038604,8491PA | 32
NL01038786,8912AT | 9
NL01038915,8917AL | 33
NL01039025,8493LA | 6
NL01039137,9201CH | 96
NL01039321,9206AJ | 11
NL01039482,8581KG | 13
NL01039614,8912AW | 4
NL01039689,8607AB | 9
NL01039690,8607AB | 9
NL01039925,8502BR | 42
NL01040164,9206AD | 20
NL01040633,8601WT | 1
NL01041476,8911AW | 7
NL01041601,9108LC | 1
NL01041709,8606JP | 23
NL01041913,8525EP | 9
NL01042159,8491PK | 5
NL01042201,8916CM | 51
NL01042459,8451KA | 45
NL01042563,9723BK | 125
NL01042634,8861VH | 2
NL01042881,3734GG | 7
NL01042907,9061AE | 12
NL01042915,8601WT | 1
NL01042967,8606VP | 2
NL01043064,8801JW | 8
NL01043065,8801PP | 44
NL01043153,9076PH | 26
NL01043154,9076PH | 26
NL01043215,9011WJ | 11
NL01043326,9203CJ | 1
NL01043386,8501ZJ | 13
NL01043525,8445PL | 11
NL01043531,8606JR | 6
NL01043668,9105KT | 40
NL01043767,8917AL | 33
NL01043961,9161AK | 16
NL01044033,9003LA | 12
NL01044176,8921VM | 61
NL01044367,8801PX | 8
NL01044372,1072AH | 27
NL01045245,9257DS | 63
NL01045285,9201CH | 126
NL01045332,8566JD | 37
NL01045401,9061AE | 2
NL01045536,1011DK | 80
NL01045622,8938BG | 20
NL01045653,8517HN | 2
NL01045680,8517HN | 2
NL01045699,8938BG | 20
NL01045928,9011WJ | 11
NL01046263,8606JG | 9
NL01046669,9262NC | 4
NL01046778,8606JG | 9
NL01046906,9074CK | 24
NL01047204,2719DX | 3
NL01047414,8565HH | 60
NL01047539,9843HA | 13
NL01047581,9203KP | 140
NL01047911,9047KJ | 4
NL01047997,8531XD | 4
NL01048060,9351VA | 22
NL01048183,9219VR | 24
NL01048776,8765LP | 6
NL01048802,8606JH | 3
NL01048817,9247CX | 28
NL01048929,1183KS | 1
NL01049162,8861NA | 17
NL01049212,8939BZ | 7
NL01049261,8912AB | 83
NL01049274,8444DC | 9
NL01049582,8334RS | 105
NL01049644,9233LT | 10
NL01049786,9061AE | 12
NL01049805,8602CP | 8
NL01049922,2282DA | 18
NL01050024,8911AW | 3
NL01050052,8861XA | 2
NL01050279,8938BA | 1
NL01050561,9206AM | 1
NL01050829,9207JR | 2
NL01050968,9206BB | 9
NL01050979,8861XA | 2
NL01051073,8921VM | 61
NL01051457,8701XC | 43
NL01051468,8861XA | 2
NL01051548,9254DD | 139
NL01051608,8561EX | 37
NL01051612,8561EX | 37
NL01051929,9206AK | 7
NL01051993,9251TG | 120
NL01052001,9003LA | 12
NL01052011,8601WT | 1
NL01052013,8601WT | 1
NL01052102,8574SB | 7
NL01052322,8531PM | 10
NL01052375,1261EK | 1
NL01052442,8933AT | 50
NL01052490,8606JW | 5
NL01052491,8606JW | 5
NL01052751,8304EA | 30
NL01052999,8601WH | 7
NL01053000,8448GV | 79
NL01053049,9207JR | 2
NL01053051,9207JR | 2
NL01053052,9207JR | 2
NL01053100,9251RK | 5
NL01053101,9257MG | 70
NL01053102,9251GA | 38
NL01053103,9251GA | 38
NL01053117,8862AL | 133
NL01053160,8444AC | 77
NL01053848,9101PL | 6
NL01053958,8861VH | 2
NL01054298,8444AR | 4
NL01054541,8444AC | 77
NL01054558,8911AW | 3
NL01054664,8916HH | 30
NL01054740,8911AW | 9
NL01055135,8442LE | 581
NL01055267,8502AP | 21
NL01055336,2514GD | 95
NL01055484,8448GV | 79
NL01055545,8911AW | 9
NL01055589,8385GA | 1
NL01055744,8453XK | 1
NL01055842,8601WH | 7
NL01055935,9251ME | 31
NL01055950,9207JR | 2
NL01055984,8447SN | 25
NL01056048,8459BN | 245
NL01056189,9281NW | 52
NL01056197,9101NT | 91
NL01056345,1781AE | 39
NL01056510,9076DL | 37
NL01056664,8444AC | 77
NL01056771,8606JP | 23
NL01056779,8606JH | 3
NL01056850,8921BL | 16
NL01056908,9101JD | 2
NL01056962,8444AC | 77
NL01057178,8911AW | 3
NL01057225,8911AW | 9
NL01057290,9289XL | 12
NL01057475,8912BD | 1
NL01057531,9206AJ | 11
NL01057534,7951CZ | 3
NL01057653,8911LK | 1
NL01057786,8911AW | 3
NL01057819,9206AX | 49
NL01058013,8601VB | 1
NL01058051,8913HB | 6
NL01058398,8701XD | 14
NL01058437,1183KS | 1
NL01058537,9251BL | 23
NL01058810,8938BG | 20
NL01058889,8894KK | 4
NL01058936,2411NT | 9
NL01058955,3542AR | 1
NL01059102,8391MG | 3
NL01059117,1411GM | 111
NL01059118,9244CM | 89
NL01059217,9298RE | 1
NL01059301,8701XA | 11
NL01059333,8765LP | 6
NL01059416,9203CJ | 7
NL01059417,9203CJ | 7
NL01059694,9201CH | 126
NL01059721,8397LJ | 1
NL01059783,8861NA | 17
NL01059823,8938AG | 49
NL01059870,8734GW | 11
NL01059964,8521JL | 3
NL01060034,9206AS | 31
NL01060128,8606JR | 6
NL01060154,8394VM | 34
NL01060356,1351AM | 139
NL01060598,8442LE | 58
NL01060677,8734HV | 9
NL01060716,9231GR | 3
NL01060817,8701XD | 14
NL01060834,8835KX | 2
NL01060869,9101JD | 2
NL01060870,9261VX | 12
NL01060886,9204CM | 125
NL01061026,9041CB | 69
NL01061136,8601WH | 7
NL01061192,8919AG | 228
NL01061205,8444AC | 77
NL01061218,9206AS | 31
NL01061355,8801PN | 14
NL01061406,8861KN | 9
NL01061481,8565HH | 60
NL01061604,9251MP | 5
NL01061608,8606JR | 4
NL01061655,8715EP | 34
NL01061793,2035RC | 32
NL01061818,8801PN | 13
NL01061845,2131AE | 1
NL01061938,9289KX | 3
NL01061962,9041CB | 69
NL01061975,9257WH | 16
NL01062069,1082MS | 17
NL01062083,8919AG | 228
NL01062088,8561EL | 24
NL01062112,9044MN | 16
NL01062219,8501VZ | 23
NL01062859,8855CZ | 2
NL01062911,8391MG | 3
NL01062928,8855CZ | 2
NL01063264,8426AM | 141
NL01063321,8521MA | 17
NL01063322,8521MA | 17
NL01063367,8601AM | 88
NL01063483,8608AA | 45
NL01063893,9001XW | 3
NL01064039,2291AA | 5
NL01064199,4311CV | 2
NL01064280,9076AB | 67
NL01064329,8855CZ | 2
NL01064341,2514GD | 95
NL01064547,8459BL | 167
NL01064548,8459BL | 167
NL01064581,9207JR | 2
NL01064588,8442LE | 581
NL01064591,9451TA | 57
NL01064610,9255KH | 10
NL01064611,9255KH | 10
NL01064705,9074CK | 24
NL01065287,8491PK | 5
NL01065509,9219VR | 24
NL01065605,8561EL | 24
NL01065681,8915BW | 50
NL01065717,9011WJ | 11
NL01065720,8508RL | 28
NL01065808,9005PC | 3
NL01065855,8932NB | 57
NL01065925,8491PA | 2
NL01066085,4311CV | 2
NL01066215,8938BG | 38
NL01066220,8621CZ | 3
NL01066250,8939BG | 32
NL01066397,1906CG | 78
NL01066422,8448JB | 10
NL01066457,8491PA | 2
NL01066471,8754EV | 17
NL01066472,8754EV | 17
NL01066485,8447GL | 2
NL01066490,8447GL | 2
NL01066557,8861NE | 15
NL01066597,8912AB | 83
NL01067545,9044MN | 16
NL01067579,9251TG | 120
NL01067598,8447SL | 7
NL01067719,8913CL | 30
NL01067817,8525GG | 8
NL01067835,9101NT | 91
NL01067850,8442CT | 12
NL01067878,8913HR | 55
NL01068434,9076PH | 20
NL01068625,1906BM | 162
NL01068657,3818ED | 135
NL01068733,8754GK | 19
NL01068918,9262NR | 27
NL01069236,1624NP | 26
NL01069349,8855CZ | 2
NL01069415,8606VP | 2
NL01069595,1097DN | 224
NL01069597,1097DN | 224
NL01069675,9034HP | 2
NL01069714,8448GV | 79
NL01069719,8453XK | 1
NL01069738,8446EG | 9
NL01069764,1272JM | 2
NL01069795,8501XK | 1
NL01069870,9076DL | 37
NL01070002,9041VC | 5
NL01070163,3818LE | 4
NL01070240,9073TW | 20
NL01070263,8938BA | 5
NL01070272,8604CA | 4
NL01070362,8938BB | 2
NL01070600,8935BE | 13
NL01070917,8409JK | 87
NL01070955,8444AS | 8
NL01071214,8491PK | 5
NL01071254,8606JC | 83
NL01071637,8448JB | 10
NL01071822,8938AB | 2
NL01072169,8447SL | 13
NL01072214,8925AP | 2
NL01072284,1261EK | 1
NL01072401,8531AA | 28
NL01072524,1261EK | 1
NL01072685,3784VC | 32
NL01072886,8346KE | 43
NL01073191,1051CG | 63
NL01073194,8445PK | 1
NL01073317,8912BD | 1
NL01073429,9103NL | 6
NL01073512,8502TK | 5
NL01073572,8606JC | 83
NL01073665,8392MT | 71
NL01073820,8561EL | 24
NL01074106,8606JH | 3
NL01074222,9451TA | 57
NL01074304,9285SZ | 1
NL01074339,9074TK | 53
NL01074386,8531PM | 10
NL01074387,8531PM | 10
NL01074429,8448JB | 10
NL01074474,8501ZJ | 3
NL01074514,8501XD | 8
NL01074540,8606JH | 3
NL01074543,8855CZ | 2
NL01074661,8447SB | 11
NL01074670,9207JZ | 4
NL01074782,8401CZ | 1
NL01075010,9405PT | 5
NL01075109,8451KA | 45
NL01075128,8491PA | 2
NL01075172,8855CZ | 2
NL01075208,8574SB | 7
NL01075219,6835EA | 1
NL01075272,8445SB | 50
NL01075278,9206AJ | 11
NL01075349,9101NB | 1
NL01075628,4416PJ | 18
NL01075732,9206AK | 7
NL01075970,9206AK | 23
NL01075996,9251TG | 120
NL01076130,8601WH | 26
NL01076206,8723LZ | 4
NL01076364,8447GL | 19
NL01076443,9207HE | 6
NL01076456,3645HM | 54
NL01076458,3645HM | 54
NL01076482,9251GA | 22
NL01076496,3645HM | 54
NL01076721,8911AX | 25
NL01076732,9076DL | 37
NL01076748,8754GJ | 3
NL01076758,8632WG | 25
NL01076966,9001ZM | 6
NL01077031,1213NN | 9
NL01077059,9405BL | 3
NL01077124,9001XW | 3
NL01077236,9204WS | 5
NL01077355,9203KP | 140
NL01077397,8501ZP | 7
NL01077482,6862AH | 157
NL01077515,8894KK | 4
NL01077600,8861NS | 25
NL01077617,8532CC | 23
NL01077779,1398AB | 40
NL01077834,9289XL | 14
NL01077890,9202PD | 11
NL01078000,8501XD | 8
NL01078084,8801JW | 54
NL01078264,9101PX | 21
NL01078581,9084BD | 22
NL01078763,9289XL | 12
NL01078830,8701XC | 43
NL01078993,8447GL | 19
NL01079047,9298RE | 1
NL01079054,8934AD | 2
NL01079206,9255LH | 13
NL01079253,8491PA | 34
NL01079335,8606JR | 4
NL01079390,9206AK | 7
NL01079405,8801PP | 44
NL01079633,9206AT | 18
NL01079634,9206AT | 18
NL01079670,8043PE | 38
NL01079725,9206AK | 7
NL01080025,8448CD | 10
NL01080033,9206AT | 18
NL01080192,9041VC | 7
NL01080216,9101VK | 93
NL01080272,9101KT | 1
NL01080355,9204WS | 5
NL01080438,8938CA | 2
NL01080523,8501ZS | 1
NL01080562,8911AE | 1
NL01080570,8401SC | 8
NL01080682,8536TN | 16
NL01080684,8606JG | 9
NL01081030,8401AX | 39
NL01081131,8501ZJ | 13
NL01081193,8734HV | 9
NL01081377,1261EK | 1
NL01081476,8051ND | 1
NL01081667,9257WH | 16
NL01081752,9243SC | 15
NL01081759,8802PK | 3
NL01081866,8447SN | 25
NL01081907,8913BA | 1
NL01082189,8754JE | 19
NL01082190,8754JE | 19
NL01082289,8440AK | 4
NL01082320,8451KA | 45
NL01082327,1382LE | 1
NL01082363,9001CP | 98
NL01082578,9712BN | 49
NL01082730,8801PN | 13
NL01082736,8754GJ | 3
NL01082815,8448GV | 79
NL01082931,8938BA | 1
NL01082957,7461TW | 2
NL01083045,8938BA | 5
NL01083050,8447SB | 11
NL01083550,9288CA | 7
NL01083631,9034HP | 2
NL01083634,8346KE | 43
NL01083743,8448JB | 10
NL01083974,9728JS | 200
NL01084238,8447GL | 19
NL01084239,8447GL | 19
NL01084353,2582HH | 137
NL01084799,8271PK | 22
NL01084958,8501XG | 5
NL01085112,9206AJ | 11
NL01085113,9206AJ | 11
NL01085126,8471ZZ | 30
NL01085152,8938AN | 5
NL01085210,8912BD | 1
NL01085213,8442CT | 12
NL01085235,5026RP | 1
NL01085430,9077SW | 17
NL01085915,9204WS | 5
NL01086003,9251RM | 9
NL01086023,8538RG | 5
NL01086028,8538RG | 5
NL01086030,8538RG | 5
NL01086042,4105DZ | 2
NL01086103,5801HV | 5
NL01086185,9206AJ | 11
NL01086187,9206AJ | 11
NL01086291,5026RP | 1
NL01086514,8801PP | 44
NL01086677,8604VT | 7
NL01086746,9161AK | 16
NL01086766,8447GL | 2
NL01086770,3068AV | 5
NL01086771,3068AV | 5
NL01086826,8701MB | 39
NL01086849,8701MB | 39
NL01087001,8802PK | 3
NL01087003,8449EG | 1
NL01087303,8862TR | 1
NL01087898,9251BL | 23
NL01087964,8938BA | 5
NL01088163,8861NS | 25
NL01088183,8911AW | 3
NL01088291,8471XP | 12
NL01088605,8502CV | 163
NL01088780,8501XK | 1
NL01088789,9251RM | 9
NL01088878,8411ZM | 18
NL01088879,8411ZM | 18
NL01088954,9076PH | 22
NL01088967,8701XD | 14
NL01088981,3904PX | 10
NL01089021,8448JA | 19
NL01089053,8765LP | 6
NL01089054,8444AC | 77
NL01089550,8448CD | 10
NL01089822,8911DB | 156
NL01089886,9351VJ | 7
NL01089954,9172PS | 71
NL01090162,8938BG | 20
NL01090231,9285WZ | 4
NL01090271,9101VK | 93
NL01090573,8426AM | 141
NL01090588,8449EG | 1
NL01090589,8449EG | 1
NL01090605,9206AM | 1
NL01090669,1017EM | 558
NL01090804,8913HB | 6
NL01090812,8441BM | 35
NL01090901,5611ZT | 200
NL01090967,9204CM | 125
NL01091025,8471ZW | 1
NL01091176,8601VA | 1
NL01091286,9204WS | 5
NL01091287,8448CR | 6
NL01091305,8502TK | 1
NL01091367,9271KK | 102
NL01091476,8601WT | 19
NL01091535,3584BL | 1
NL01091604,9206AT | 16
NL01091668,8723GC | 1
NL01091766,8701PR | 2
NL01091869,9202PD | 17
NL01091934,8501ZP | 18
NL01091950,3871TG | 19
NL01091953,1322AC | 2
NL01091965,8448GX | 6
NL01091975,8441BC | 88
NL01092099,8601ZR | 6
NL01092130,8456GD | 121
NL01092203,9001ZE | 5
NL01092290,8397LE | 70
NL01092345,9207HD | 8
NL01092375,8441AC | 65
NL01092548,8894KK | 4
NL01092596,8392MT | 71
NL01092597,8392MT | 71
NL01092657,8441CM | 4
NL01092680,5026RP | 1
NL01092776,9201GH | 49
NL01092940,8862BL | 11
NL01092964,9011TA | 5
NL01093196,1507CJ | 3
NL01093283,9207HD | 8
NL01093284,9207HD | 8
NL01093293,9101VK | 93
NL01093393,8426AM | 141
NL01093455,8392MT | 71
NL01093544,8447SL | 7
NL01093582,8501XK | 1
NL01093583,8501XK | 1
NL01093585,8501XK | 1
NL01093588,8501XK | 1
NL01093590,8501XK | 1
NL01093711,9081AL | 3
NL01093812,5248NL | 133
NL01094048,9263TG | 4
NL01094118,9351VA | 22
NL01094508,9101RA | 2
NL01094603,8448GX | 6
NL01094631,8862TR | 1
NL01094639,8502CV | 163
NL01094664,9104CS | 47
NL01094694,9204KZ | 25
NL01094699,9207AM | 2
NL01094720,8938BA | 5
NL01094778,3068AV | 5
NL01095099,8801PN | 15
NL01095266,8501ZA | 24
NL01096011,9257DS | 63
NL01096013,9257DS | 63
NL01096031,8491PA | 32
NL01096034,8491PA | 32
NL01096035,8491PA | 34
NL01096056,8445PK | 1
NL01096087,8835KX | 2
NL01096089,8862BL | 11
NL01096188,8446EG | 9
NL01096190,8446EG | 9
NL01096417,1422DZ | 224
NL01096492,8441BC | 88
NL01096658,9206BD | 14
NL01096661,9001ZZ | 34
NL01096663,8919AG | 228
NL01096797,8102CK | 30
NL01096798,8532CE | 13
NL01096823,9076MA | 20
NL01096918,9001ZJ | 17
NL01096949,9202PD | 10
NL01096974,8448JA | 23
NL01097029,8605BV | 57
NL01097032,8605BV | 57
NL01097093,1471CM | 64
NL01097137,8471AD | 12
NL01097357,7903AW | 66
NL01097358,8801PN | 14
NL01097469,8444AS | 8
NL01097489,8914AX | 14
NL01097555,9202PD | 10
NL01097591,8711CS | 45
NL01097745,8932NB | 73
NL01097753,8441CM | 4
NL01097781,8531EB | 29
NL01097812,8801PL | 6
NL01097947,3068AV | 5
NL01098257,8911MA | 1
NL01098335,8502CV | 163
NL01098504,9203KP | 140
NL01098589,8765LP | 6
NL01098744,9001JK | 3
NL01098855,8493LA | 6
NL01098888,8831XA | 43
NL01099049,8444AV | 5
NL01099074,8561EX | 37
NL01099095,8471XP | 18
NL01099405,2719DX | 3
NL01099465,8917BD | 100
NL01099549,9084BD | 22
NL01099840,9206AS | 31
NL01099858,8914CA | 4
NL01099897,9101DC | 70
NL01100099,8861NS | 25
NL01100123,9101PZ | 4
NL01100139,9076AB | 67
NL01100181,8603CL | 35
NL01100228,8701MB | 39
NL01100230,8701MB | 39
NL01100244,8603CL | 35
NL01100292,8606JH | 3
NL01100304,8606JH | 3
NL01100339,8938AT | 2
NL01100379,9161CT | 4
NL01100474,9251TG | 120
NL01100475,9251TG | 120
NL01100482,8448MT | 12
NL01100483,8448MT | 12
NL01100520,8861NE | 15
NL01100577,9202PD | 17
NL01100619,8441AZ | 15
NL01100681,8431HH | 38
NL01100780,8606JH | 3
NL01100902,8391AM | 73
NL01100991,8443DA | 1
NL01101233,8604CE | 24
NL01101261,9206AJ | 11
NL01101311,8447SN | 25
NL01101353,8401SC | 8
NL01101356,8401SC | 8
NL01101491,8606JR | 4
NL01101497,9003LA | 12
NL01101503,9041VC | 5
NL01101627,8451KA | 45
NL01101744,9101NR | 132
NL01101860,9202PG | 2
NL01101864,8938BG | 38
NL01101946,8913EH | 36
NL01101979,3584BL | 1
NL01101982,8525GG | 8
NL01101992,9244CL | 39
NL01102036,8531DJ | 13
NL01102107,9034HP | 2
NL01102195,8633KV | 7
NL01102196,9101PL | 6
NL01102210,8601VB | 1
NL01102280,8912AW | 4
NL01102304,8912AW | 4
NL01102349,8801PN | 15
NL01102544,8447SN | 25
NL01102567,8447SL | 7
NL01102587,8921VM | 61
NL01102802,9207HE | 6
NL01103063,1101CB | 17
NL01103065,1101AR | 56
NL01103075,3068AV | 5
NL01103077,8447GL | 2
NL01103204,9025BR | 6
NL01103302,8431RA | 17
NL01103337,8451KA | 45
NL01103339,8861VA | 29
NL01103356,9231DB | 3
NL01103373,8913BA | 1
NL01103379,8392MT | 71
NL01103382,8392MT | 71
NL01103402,8392MT | 71
NL01103465,8939AA | 9
NL01103719,9005PS | 14
NL01103729,5913AE | 20
NL01103815,8442BS | 56
NL01103843,8445SB | 50
NL01103857,9243SC | 15
NL01103972,9001EH | 38
NL01104017,8531DJ | 13
NL01104019,8938BA | 1
NL01104128,1012AB | 51
NL01104131,8447SE | 5
NL01104187,9041VH | 3
NL01104188,8448GV | 65
NL01104320,8271BL | 103
NL01104404,8442DJ | 65
NL01104644,9289KC | 4
NL01104645,8911AW | 3
NL01104670,8442BM | 83
NL01104839,8442LE | 54
NL01105192,9201SC | 46
NL01105256,8861NJ | 1
NL01105316,9207HD | 8
NL01105400,9204CM | 125
NL01105438,3734GG | 7
NL01105589,8442LE | 54
NL01105805,8642WJ | 1
NL01105828,8456JB | 28
NL01105830,9001NT | 14
NL01105854,8471XP | 12
NL01105962,5026RP | 1
NL01106006,9206AM | 1
NL01106139,8602CP | 8
NL01106148,9202PD | 18
NL01106548,9233LT | 10
NL01106610,8491PA | 34
NL01106616,8447GL | 2
NL01106623,3812RJ | 17
NL01106646,8861NA | 17
NL01106662,8601WT | 19
NL01106792,8401SC | 8
NL01106896,8521NA | 20
NL01107125,9202PD | 17
NL01107175,8442DJ | 65
NL01107488,8471ZZ | 30
NL01107494,9206AM | 1
NL01107503,8601ZR | 6
NL01107687,8442LE | 58
NL01107804,8884HJ | 32
NL01107907,1114AB | 901
NL01107918,8448CS | 36
NL01107924,8701CL | 18
NL01107946,8921AB | 93
NL01107960,9247BD | 120
NL01108006,9351VJ | 7
NL01108052,8476EA | 2
NL01108074,8608AG | 47
NL01108138,8861KN | 27
NL01108221,8525EP | 9
NL01108222,8525EP | 9
NL01108512,8911AW | 3
NL01108565,9243KB | 1
NL01108566,9201GH | 49
NL01108584,5026RP | 1
NL01108622,8501XC | 9
NL01108692,8451KA | 45
NL01108750,9202PD | 10
NL01108808,9171GD | 6
